
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
319,2014-11-23,,천부,경상북도 울릉군 천부리,울릉도기상대(115),37.5373,130.8708,58.05,,,,
319,2001-10-25,2014-11-23,천부,경상북도 울릉군 천부리,울릉도기상대(115),37.5408,130.8746,63,,,,
320,2021-07-23,,향로봉,강원특별자치도 고성군 수동면 상원리,강릉(구 105),38.331,128.3138,1263.88,,,,
320,2020-10-23,2021-07-23,향로봉,강원도 인제군 용대리,강릉(구 105),38.331,128.3138,1263.88,,,,
320,2017-01-13,2020-10-23,향로봉,강원도 인제군 용대리,강릉(구 105),38.331,128.3137,1262.62,,,,
320,2015-07-13,2017-01-13,향로봉,강원도 인제군 용대리,강릉(구 105),38.331,128.3137,1262.62,,,,
320,2008-11-14,2015-07-13,향로봉,강원도 인제군 용대리,속초기상대(90),38.331,128.3137,1262.62,,,,
320,2001-10-25,2008-11-14,향로봉,강원도 인제군 용대리,속초기상대(90),38.325,128.3208,1267,,,,
321,2021-07-20,,원통,강원특별자치도 인제군 북면 원통리,강릉(구 105),38.1147,128.1963,253.72,,,,
321,2017-01-13,2021-07-20,원통,강원도 인제군 원통리,강릉(구 105),38.1147,128.1963,253.72,,,,
321,2001-10-25,2017-01-13,원통,강원도 인제군 원통리,강릉(구 105),38.1147,128.1963,253.72,,,,
322,2021-08-14,,상서,강원특별자치도 화천군 상서면 산양리,춘천기상대(101),38.2316,127.6857,437,,,,
322,2015-07-13,2021-08-14,상서,강원도 화천군 산양리,춘천기상대(101),38.2155,127.6698,263.76,,,,
322,2001-10-25,2015-07-13,상서,강원도 화천군 산양리,철원기상대(95),38.2155,127.6698,263.76,,,,
323,2021-08-31,,마현,강원특별자치도 철원군 근남면 마현리,춘천기상대(101),38.2727,127.5255,276,,,,
323,2015-07-13,2021-08-31,마현,강원도 철원군 마현리,춘천기상대(101),38.2747,127.553,291.41,,,,
323,2009-11-11,2015-07-13,마현,강원도 철원군 마현리,철원기상대(95),38.2747,127.553,291.41,,,,
323,2001-10-25,2009-11-11,마현,강원도 철원군 마현리,철원기상대(95),38.2728,127.5542,269,,,,
324,2022-09-30,,송계,충청북도 제천시 탄지리,청주기상대(131),36.9102,128.0745,155.91,,,,
324,2015-07-13,2022-09-30,송계,충청북도 제천시 탄지리,청주기상대(131),36.9102,128.0745,155.91,,,,
324,2011-06-02,2015-07-13,송계,충청북도 제천시 탄지리,충주지역기상서비스센터(127),36.9101,128.0745,141,,,,
324,2007-11-27,2011-06-02,송계,충청북도 제천시 송계리,충주지역기상서비스센터(127),36.8831,128.0802,179.88,,,,
324,2001-10-25,2007-11-27,월악산,충청북도 제천시 송계리,충주지역기상서비스센터(127),36.8667,128.0667,180,,,,
325,2023-11-01,,백운,충청북도 제천시 평동리,청주기상대(131),37.1445,128.0253,231.26,,,,
325,2015-07-13,2023-11-01,백운,충청북도 제천시 평동리,청주기상대(131),37.1445,128.0253,231.26,,,,
325,2011-09-20,2015-07-13,백운,충청북도 제천시 평동리,충주지역기상서비스센터(127),37.1445,128.0253,230,,,,
325,2001-10-25,2011-09-20,백운,충청북도 제천시 평동리,충주지역기상서비스센터(127),37.1376,128.0254,233.72,,,,
326,2022-10-27,,용문산,경기도 양평군 중원리,,37.5455,127.6113,191.01,,,,
326,2015-07-13,2022-10-27,용문산,경기도 양평군 중원리,,37.5455,127.6113,191.01,,,,
326,2012-05-24,2015-07-13,용문산,경기도 양평군 중원리,이천지역기상서비스센터(203),37.5455,127.6112,190.2,,,,
326,2001-10-25,2012-05-24,용문산,경기도 양평군 신점리,이천지역기상서비스센터(203),37.5453,127.583,197.28,,,,
327,2022-10-22,,청주금천,충청북도 청주시상당구 금천동,청주기상대(131),36.6261,127.5128,97,,,,
327,2001-10-25,2022-10-22,우암산,충청북도 청주시상당구 명암동,청주기상대(131),36.6503,127.512,127.11,,,,
328,2024-11-01,,상예,제주특별자치도 서귀포시 상예동,제주지방기상청(184),33.2505,126.3984,61,,,,
328,2020-10-31,2024-11-01,중문,제주특별자치도 서귀포시 색달동,제주지방기상청(184),33.2494,126.406,63.64,,,,
328,2015-07-13,2020-10-31,중문,제주특별자치도 서귀포시 색달동,제주지방기상청(184),33.2494,126.406,63.64,,,,
328,2001-10-23,2015-07-13,중문,제주특별자치도 서귀포시 색달동,서귀포지역기상서비스센터(189),33.2495,126.4061,60.88,,,,
329,2023-11-30,,산천단,제주특별자치도 제주시 아라일동,제주지방기상청(184),33.4473,126.5655,377,,,,
329,2022-06-02,2023-11-30,산천단,제주특별자치도 제주시 아라일동,제주지방기상청(184),33.4473,126.5655,377,,,,
329,2021-08-09,2022-06-02,산천단,제주특별자치도 제주시 아라일동,제주지방기상청(184),33.4471,126.5652,378.48,,,,
329,2018-06-01,2021-08-09,산천단,제주특별자치도 제주시 아라일동,제주지방기상청(184),33.4471,126.5652,378.48,,,,
329,2008-11-26,2018-06-01,아라,제주특별자치도 제주시 아라일동,제주지방기상청(184),33.4471,126.5652,374.66,,,,
329,2001-10-23,2008-11-26,오등,제주특별자치도 제주시 오등동,제주지방기상청(184),33.4238,126.5439,513,,,,
330,2021-08-07,,대흘,제주특별자치도 제주시 대흘리,제주지방기상청(184),33.5008,126.6495,144.41,,,,
330,2017-07-25,2021-08-07,대흘,제주특별자치도 제주시 대흘리,제주지방기상청(184),33.5008,126.6495,144.41,,,,
330,2015-07-13,2017-07-25,회수,제주특별자치도 서귀포시 대포동,제주지방기상청(184),33.2727,126.4501,221,,,,
330,2012-07-10,2015-07-13,회수,제주특별자치도 서귀포시 대포동,서귀포지역기상서비스센터(189),33.2727,126.4501,226,,,,
330,2001-10-23,2012-07-10,하원,제주특별자치도 서귀포시 하원동,서귀포지역기상서비스센터(189),33.2886,126.4616,407.21,,,,
331,2024-10-25,,제주색달,제주특별자치도 서귀포시 색달동,제주지방기상청(184),33.2955,126.4205,431,,,,
332,2024-12-18,,등봉,강원특별자치도 삼척시 등봉동,강릉(구 105),37.4434,129.1221,49.13,,,,
333,2024-12-18,,북삼,강원특별자치도 동해시 쇄운동,강릉(구 105),37.4914,129.0923,74.42,,,,
334,2024-12-18,,중앙,강원특별자치도 속초시 중앙동,강릉(구 105),38.207,128.5919,24.38,,,,
335,2024-12-18,,강림,강원특별자치도 횡성군 강림면 강림리,강릉(구 105),37.3602,128.1255,406.11,,,,
336,2024-12-18,,매일,강원특별자치도 횡성군 갑천면 매일리,강릉(구 105),37.5609,128.1102,210.87,,,,
337,2024-12-18,,우항,강원특별자치도 횡성군 우천면 우항리,강릉(구 105),37.4597,128.0632,202.45,,,,
338,2024-12-18,,둔내,강원특별자치도 횡성군 둔내면 우용리,강릉(구 105),37.5057,128.2107,486.29,,,,
339,2024-12-18,,서원,강원특별자치도 횡성군 서원면 압곡리,강릉(구 105),37.4892,127.8819,251.49,,,,
340,2024-12-18,,공근,강원특별자치도 횡성군 공근면 매곡리,강릉(구 105),37.5282,127.9805,137.6,,,,
344,2024-11-20,,칠성,충청북도 괴산군 갈읍리,청주기상대(131),36.7876,127.8473,116.01,,,,
345,2024-12-18,,학성,강원특별자치도 원주시 학성동,강릉(구 105),37.3746,127.9458,109.15,,,,
346,2024-12-18,,강릉구정,강원특별자치도 강릉시 구정면 학산리,강릉(구 105),37.712,128.8972,52.88,,,,
347,2023-11-01,,귀래,강원특별자치도 원주시 귀래면 귀래리,강릉(구 105),37.2276,127.8569,152,,,,
347,2022-12-03,2023-11-01,귀래,강원특별자치도 원주시 귀래면 귀래리,강릉(구 105),37.2276,127.8569,152,,,,
348,2023-11-01,,하조대,강원특별자치도 양양군 현북면 하광정리,강릉(구 105),38.0257,128.7168,6.1,,,,
348,2022-11-23,2023-11-01,하조대,강원특별자치도 양양군 현북면 하광정리,강릉(구 105),38.0258,128.7169,4,,,,
349,2024-09-11,,시동,강원특별자치도 홍천군 남면 시동리,춘천기상대(101),37.600,127.8431,275,,,,
349,2023-11-01,2024-09-11,시동,강원특별자치도 홍천군 남면 시동리,춘천기상대(101),37.600,127.8431,275,,,,
349,2021-12-24,2023-11-01,시동,강원특별자치도 홍천군 남면 시동리,춘천기상대(101),37.600,127.8431,275,,,,
350,2021-04-17,,조침령,강원특별자치도 인제군 기린면 진동리,강릉(구 105),37.9953,128.4956,607,,,10.000,
367,2021-05-04,,신현동,경기도 시흥시 포동,인천기상대(112),37.4062,126.7846,16.86,,,,
367,2008-09-09,2021-05-04,신현동,경기도 시흥시 포동,인천기상대(112),37.4061,126.7844,26,,,,
371,2021-05-04,,기흥구갈,경기도 용인시 기흥구 구갈동,,37.2805,127.1145,101.62,,,,
371,2008-08-14,2021-05-04,기흥구,경기도 용인시 기흥구 구갈동,,37.2772,127.1164,121,,,,
376,2021-07-01,,광명노온,경기도 광명시 노온사동,,37.4474,126.859,68.57,,,,
377,2021-12-31,,안양만안,경기도 안양시 만안구 박달동,,37.3952,126.8919,28,,,,
378,2023-11-06,,정림,대전광역시 서구 정림동,대전지방기상청(133),36.3036,127.3628,71.19,,,,
379,2021-11-16,,번암,,전주기상대(146),35.5405,127.5463,292,,,,
400,2023-11-01,,강남,서울특별시 강남구 일원동,,37.4982,127.0816,12.66,,,,
400,2020-10-23,2023-11-01,강남,서울특별시 강남구 일원동,,37.4982,127.0817,10.32,,,,
400,2019-05-29,2020-10-23,강남,서울특별시 강남구 일원동,,37.4982,127.0816,28.7,,,,
400,2010-08-16,2019-05-29,강남,서울특별시 강남구 삼성동,,37.5134,127.0467,59.24,,,,
400,1994-12-04,2010-08-16,강남,서울특별시 강남구 삼성동,서울기상관측소(108),37.5094,127.0485,59,,,,
401,2022-09-23,,서초,서울특별시 서초구 서초동,,37.4846,127.026,33.05,,,,
401,2016-09-12,2022-09-23,서초,서울특별시 서초구 서초동,,37.4846,127.026,33.05,,,,
401,2010-08-16,2016-09-12,서초,서울특별시 서초구 서초동,,37.4889,127.0156,35.53,,,,
401,1994-12-04,2010-08-16,서초,서울특별시 서초구 서초동,서울기상관측소(108),37.480,127.020,36,,,,
402,2023-11-01,,강동,서울특별시 강동구 고덕동,,37.5556,127.145,55.29,,,,
402,2022-10-14,2023-11-01,강동,서울특별시 강동구 고덕동,,37.5555,127.145,54.5,,,,
402,2010-08-16,2022-10-14,강동,서울특별시 강동구 고덕동,,37.5555,127.145,56.21,,,,
402,1994-12-04,2010-08-16,강동,서울특별시 강동구 고덕동,서울기상관측소(108),37.5519,127.1484,55,,,,
403,2024-12-05,,송파,서울특별시 송파구 장지동,,37.4743,127.1254,54.05,,,,
403,2023-11-28,2024-12-05,송파,서울특별시 송파구 잠실동,,37.5115,127.0967,58.26,,,,
403,2010-08-16,2023-11-28,송파,서울특별시 송파구 잠실동,,37.5115,127.0967,58.26,,,,
403,1994-12-05,2010-08-16,송파,서울특별시 송파구 잠실동,서울기상관측소(108),37.5082,127.1004,53,,,,
404,2023-11-16,,강서,서울특별시 강서구 화곡동,,37.5739,126.8295,9.3,,,,
404,2010-08-16,2023-11-16,강서,서울특별시 강서구 화곡동,,37.5739,126.8295,80.4,,,,
404,1994-12-05,2010-08-16,강서,서울특별시 강서구 화곡동,서울기상관측소(108),37.550,126.850,79,,,,
405,2024-07-31,,양천,서울특별시 양천구 목동,,37.5282,126.8794,22.75,,,,
405,2023-11-01,2024-07-31,양천,서울특별시 양천구 목동,,37.5282,126.8794,22.75,,,,
405,2022-10-11,2023-11-01,양천,서울특별시 양천구 목동,,37.5282,126.8794,22.75,,,,
405,2010-08-16,2022-10-11,양천,서울특별시 양천구 목동,,37.5296,126.8782,11.93,,,,
405,1994-12-05,2010-08-16,양천,서울특별시 양천구 목동,서울기상관측소(108),37.524,126.8793,11,,,,
406,2023-10-13,,도봉,서울특별시 도봉구 방학동,,37.6656,127.0304,56.65,,,,
406,2010-08-16,2023-10-13,도봉,서울특별시 도봉구 방학동,,37.6661,127.0295,56.65,,,,
406,1994-12-06,2010-08-16,도봉,서울특별시 도봉구 방학동,서울기상관측소(108),37.6633,127.0352,56,,,,
407,2023-11-04,,노원,서울특별시 노원구 공릉동,,37.6219,127.0919,25.3,,,,
407,2010-08-16,2023-11-04,노원,서울특별시 노원구 공릉동,,37.6219,127.0919,25.3,,,,
407,1994-12-06,2010-08-16,노원,서울특별시 노원구 공릉동,서울기상관측소(108),37.6194,127.0894,53,,,,
408,2023-10-14,,동대문,서울특별시 동대문구 전농동,,37.5846,127.0604,53.96,,,,
408,2010-08-16,2023-10-14,동대문,서울특별시 동대문구 전농동,,37.5846,127.0604,53.96,,,,
408,1994-12-07,2010-08-16,동대문,서울특별시 동대문구 전농동,서울기상관측소(108),37.5772,127.0501,35,,,,
409,2023-11-01,,중랑,서울특별시 중랑구 면목동,,37.5855,127.0868,39.09,,,,
409,2022-10-18,2023-11-01,중랑,서울특별시 중랑구 면목동,,37.5855,127.0868,39.09,,,,
409,2010-08-16,2022-10-18,중랑,서울특별시 중랑구 면목동,,37.5855,127.0868,39.09,,,,
409,1994-12-07,2010-08-16,중랑,서울특별시 중랑구 면목동,서울기상관측소(108),37.5835,127.0889,40,,,,
410,2020-12-12,,기상청,서울특별시 동작구 신대방동,,37.4933,126.9175,41.76,,,,
410,2010-08-16,2020-12-12,기상청,서울특별시 동작구 신대방동,,37.4937,126.9181,36.44,,,,
410,1999-12-15,2010-08-16,기상청,서울특별시 동작구 신대방동,서울기상관측소(108),37.4935,126.9228,33.5,,,,
410,1994-12-07,1999-12-15,동작,서울특별시 동작구 신대방동,서울기상관측소(108),37.4935,126.9228,48,,,,
411,2024-10-03,,마포,서울특별시 마포구 망원동,,37.5517,126.9292,100.67,,,,
411,2023-11-01,2024-10-03,마포,서울특별시 마포구 망원동,,37.5517,126.9292,100.67,,,,
411,2010-08-16,2023-11-01,마포,서울특별시 마포구 망원동,,37.5517,126.9292,100.67,,,,
411,1994-12-08,2010-08-16,마포,서울특별시 마포구 망원동,서울기상관측소(108),37.5431,126.9342,24,,,,
412,2020-10-10,,서대문,서울특별시 서대문구 신촌동,,37.5705,126.9408,103.08,,,,
412,2010-08-16,2020-10-10,서대문,서울특별시 서대문구 신촌동,,37.5705,126.9408,103.08,,,,
412,1994-12-08,2010-08-16,서대문,서울특별시 서대문구 신촌동,서울기상관측소(108),37.5676,126.9466,101,,,,
413,2024-05-09,,광진,서울특별시 광진구 자양동,,37.5334,127.086,29.91,,,,
413,2023-10-26,2024-05-09,광진,서울특별시 광진구 자양동,,37.5338,127.0857,28.63,,,,
